"city","lat","lon"
"London",51.5073509,-0.1277583
"Melbourne",-37.8136276,144.9630576
"Christchurch",-43.5320544,172.6362254
"Singapore",1.352083,103.819836
"Bangkok",13.7563309,100.5017651
"Kathmandu",27.7172453,85.3239605
"Doha",25.2854473,51.5310398
"Copenhagen",55.6760968,12.5683372
"Oslo",59.9138688,10.7522454
"Dubai",25.2048493,55.2707828
"Abu Dabi",24.453884,54.3773438
"Ho Chi Minh City",10.8230989,106.6296638
"Edinburgh",55.953252,-3.188267
"Reykjavik",64.146582,-21.9426354
"Akureyri",65.6825509,-18.0906859
"Stavanger",58.9699756,5.7331074
"Stockholm",59.3293235,18.0685808
"Belfast",54.597285,-5.93012
"Brussels",50.8503463,4.3517211
"Seville",37.3890924,-5.9844589
"Madrid",40.4167754,-3.7037902
"Lisboa",38.7222524,-9.1393366
"Vienna",48.2081743,16.3738189
"Marseilles",43.296482,5.36978
"Zurich",47.3768866,8.541694
"Gdansk",54.3520252,18.6466384
"Cluj-Napoca",46.7712101,23.6236353
"Helsinki",60.1698557,24.9383791
"Riga",56.9496487,24.1051865
"Hanoi",21.0277644,105.8341598
"Siem Reap",13.3550091,103.855173
"Los Angeles",34.0522342,-118.2436849
"New York",40.7127753,-74.0059728
"Timisoara",45.7488716,21.2086793
"Kiev",50.4501,30.5234
"Minsk",53.9045398,27.5615244
"Tallinn",59.4369608,24.7535747
"Munich",48.1351253,11.5819805
"Dubrovnik",42.6506606,18.0944238
"Istanbul",41.0082376,28.9783589
"Tbilisi",41.7151377,44.827096
"Astana",51.1605227,71.4703558
"Almaty",43.2220146,76.8512485
"Kuala Lumpur",3.139003,101.686855
"Sydney",-33.8688197,151.2092955
"Canberra",-35.2809368,149.1300092
"Brisbane",-27.4697707,153.0251235
"Perth",-31.9505269,115.8604572
"Auckland",-36.8484597,174.7633315
"Tokyo",35.6761919,139.6503106
"Invercargil",-46.4131866,168.3537731
"Krabi",8.0862997,98.9062835
"Pokhara",28.237987,83.9955879
"Bodø",43.6533285,-70.266591
"Hofn",64.2497026,-15.2020077
"Amsterdam",52.3679843,4.9035614
"Paris",48.856614,2.3522219
"Malaga",36.7212737,-4.4213988
"Barcelona",41.3850639,2.1734035
"Luxembourg City",49.611621,6.1319346
"Prague",50.0755381,14.4378005
"Krakow",50.0646501,19.9449799
"Bucharest",44.4267674,26.1025384
"Athens",37.9838096,23.7275388
"Sofia",42.6977082,23.3218675
"Malta",35.937496,14.375416
"Nadi Fiji",-17.7765356,177.4356227
"Denpasar",-8.6704582,115.2126293
"Kununurra",-15.7785409,128.7416854
"Dublin",53.3498053,-6.2603097
"Orlando",28.5383355,-81.3792365
"Belgrade",44.786568,20.4489216
"Sibiu",45.7983273,24.1255826
"Marrakech",31.6294723,-7.9810845
"Moscow",55.755826,37.6172999
"Rovaniemi",66.5039478,25.7293906
"Sarajevo",43.8562586,18.4130763
